english, german
"I followed every official procedure, but the system seemed designed to delay rather than resolve the problem.","Ich habe jedes offizielle Verfahren befolgt, aber das System schien eher darauf ausgelegt zu sein, das Problem zu verzögern als zu lösen."
"The authorities asked for evidence, then more evidence, and then more evidence again. At some point you realize the process itself is the barrier.","Die Behörden verlangten Beweise, dann noch mehr Beweise und dann wieder mehr Beweise. Irgendwann merkt man, dass das Verfahren selbst die Hürde ist."
"I kept a noise log for months, but no one could explain what level of barking actually violates the rules.","Ich habe monatelang ein Lärmprotokoll geführt, aber niemand konnte mir erklären, welches Maß an Bellen tatsächlich gegen die Regeln verstößt."
"Every office I contacted acknowledged the problem but told me it was someone else’s responsibility.","Jede Stelle, die ich kontaktierte, erkannte das Problem an, sagte aber, jemand anderes sei zuständig."
"The system asks victims to prove the harm again and again, while the source of the noise is rarely required to change anything.","Das System verlangt von den Betroffenen immer wieder den Nachweis des Schadens, während die Quelle des Lärms selten etwas ändern muss."
"I thought reporting the problem would lead to action. Instead, it led to paperwork.","Ich dachte, eine Meldung des Problems würde zu Maßnahmen führen. Stattdessen führte sie zu Papierarbeit."
"The rules about dog barking exist, but no one seems willing to enforce them consistently.","Die Regeln zum Hundegebell existieren, aber niemand scheint bereit zu sein, sie konsequent durchzusetzen."
"The process makes you feel like the burden of solving the problem has been transferred entirely onto the victim.","Der Prozess gibt einem das Gefühl, dass die Last der Problemlösung vollständig auf das Opfer übertragen wurde."
"When the law is vague, enforcement becomes optional.","Wenn das Gesetz unklar ist, wird seine Durchsetzung optional."
"I spent more time documenting the noise than the authorities spent addressing it.","Ich habe mehr Zeit damit verbracht, den Lärm zu dokumentieren, als die Behörden damit, ihn zu beheben."
"The bureaucracy acknowledges the complaint but rarely delivers a remedy.","Die Bürokratie erkennt die Beschwerde an, liefert aber selten eine Lösung."
"The system treats chronic barking as a minor inconvenience even when it severely affects daily life.","Das System behandelt chronisches Hundegebell als kleine Unannehmlichkeit, selbst wenn es das tägliche Leben stark beeinträchtigt."
"It feels like the policies were written without considering what victims actually experience.","Es fühlt sich an, als wären die Richtlinien geschrieben worden, ohne zu berücksichtigen, was Betroffene tatsächlich erleben."
"Officials often say they need clearer proof, but they never define what proof would actually be enough.","Beamte sagen oft, sie bräuchten klarere Beweise, aber sie definieren nie, welche Beweise tatsächlich ausreichen würden."
"The complaint system works on paper, but in practice it leaves victims without meaningful protection.","Das Beschwerdesystem funktioniert auf dem Papier, lässt Betroffene in der Praxis jedoch ohne wirksamen Schutz."
"The more you learn about the procedures, the more you realize how difficult it is for them to produce real outcomes.","Je mehr man über die Verfahren lernt, desto mehr erkennt man, wie schwer es für sie ist, echte Ergebnisse zu liefern."
"The rules require victims to document patterns that authorities already know are common.","Die Regeln verlangen von Betroffenen, Muster zu dokumentieren, von denen die Behörden bereits wissen, dass sie häufig vorkommen."
"Each step in the process adds time, but none guarantees a solution.","Jeder Schritt im Verfahren kostet Zeit, aber keiner garantiert eine Lösung."
"The policy framework recognizes noise as harmful but creates almost no practical pathway for stopping it.","Der politische Rahmen erkennt Lärm als schädlich an, schafft aber kaum praktische Wege, ihn zu stoppen."
"The enforcement system moves slowly while the noise problem continues every day.","Das Vollzugssystem bewegt sich langsam, während das Lärmproblem jeden Tag weitergeht."
"Victims are asked to mediate conflicts that exist because the rules themselves are unclear.","Betroffene sollen Konflikte schlichten, die gerade wegen unklarer Regeln entstehen."
"Instead of preventing the problem, the system mostly records that the problem exists.","Anstatt das Problem zu verhindern, hält das System meist nur fest, dass es existiert."
"The complaint process often feels like a loop with no clear endpoint.","Der Beschwerdeprozess fühlt sich oft wie eine Schleife ohne klares Ende an."
"The authorities ask for patience, but the policy structure offers no predictable resolution.","Die Behörden bitten um Geduld, aber die politische Struktur bietet keine vorhersehbare Lösung."
"The most frustrating part is realizing that the procedures are very clear about documentation, but very unclear about enforcement.","Am frustrierendsten ist zu erkennen, dass die Verfahren bei der Dokumentation sehr klar sind, bei der Durchsetzung jedoch sehr unklar."
